P1,P2,similarity
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.7107392601971282 0.7589729707707106 0.703727715335902 0.7519663718101133 0.748016057915019 0.5067397576446424,0.4482580293004193
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.4490370983748871 0.5346191488426967 0.6337064509152763 0.6450765709359694 0.6538372407819618 0.581003814282352,0.6493145898946668
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.44430889927336203 0.47262579084032397 0.386573707768766 0.402429966224682 0.5057938546943166 0.4411086303821596,0.790256574442881
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.5941304826581549 0.344446172043151 0.6487295896862008 0.7867173670963534 0.5661256190627905 0.6030657803861452,0.6266114040828792
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.5079817895944277 0.5231624146788296 0.5826678187055605 0.48894602920391955 0.32831554883473374 0.533499076288204,0.7273018378648317
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.4528346855506277 0.37767499044731123 0.47387551692603536 0.5356726502991634 0.4620783989334233 0.5486862648093309,0.7555432529432168
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.4925402380803041 0.43333645623068406 0.5920088495206084 0.7055224802298619 0.5507714722284697 0.5469249709260764,0.6766689810271802
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.5709747032584431 0.6020085763173076 0.5392854189715084 0.6477553316175393 0.5357643995128835 0.4766234125343898,0.6741607719808785
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.6175229142543307 0.6964069450248991 0.598243189501659 0.730527446482414 0.9065792327596633 0.9407983387965058,0.4724042367032612
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.9302441095599666 0.694968381444776 0.6732749764008399 0.7653844037896183 0.8857692034333368 0.8268749406780467,0.43310782776191065
0.22073340903272298 0.2400712810597073 0.21948217261307537 0.2905075181445702 0.2511304025441721 0.20747100891463224,0.656884136486602 0.7016106960760513 0.6290324166808191 0.7218619540638274 0.7815235209649981 0.7799224950299329,0.522844940559303
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.46769639029370097 0.35393146821758525 0.30773808096112665 0.4768101154139276 0.39774496471579646 0.35758373824078915,0.7537583959890456
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.28604945024089956 0.36128976473835767 0.5904034522682177 0.4135812851080696 0.4817893277397531 0.36506861610355684,0.7550040502784343
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.489037299639869 0.2717727150195893 0.6940574961568056 0.47813902305262324 0.5380066472297826 0.4316144824971442,0.6759356477523941
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.4082993694939404 0.44071842363561753 0.6023511637058209 0.4927300720026544 0.5402539743844821 0.40655423869517826,0.6969086249846336
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.43214326983904094 0.5647308089118733 0.6480632429733469 0.5570461370111781 0.43287254766943517 0.3995074556681429,0.6835408877346146
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.9429866073220075 0.7744330240230776 0.7282331970846622 0.7383160010072549 0.8363690364190574 0.8326276842032424,0.37274972981458293
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.7705019203791839 0.8999552730372193 0.649840266969858 0.6587085499464651 0.6748062645222889 0.7116025511918689,0.45974910556839055
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.8283617676480199 0.48902132693151595 0.7140519676902475 0.8653849052641622 0.826538602743671 0.7999872725647453,0.4079417769019787
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.6716521365342547 0.7228521453115064 0.6877744529581973 0.9525522739514698 0.7718079360750628 0.7332808643108337,0.41890995677106385
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.6847700077983981 0.5735847547252919 0.9248386533217449 0.9451218071811398 0.8197915214299198 0.5153311610748832,0.4181036266782855
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.720086691113423 0.831485854940293 0.7551973087663257 0.8705319267661854 0.6583415356994718 0.770647530893033,0.42284220576662607
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.5339514571348498 0.9219825540906067 0.8350181644996554 0.8887358865573478 0.6960564931645781 0.7297099936435868,0.41890641910165477
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.6883351825641892 0.648047571196713 0.8411594169676507 0.8102052082531656 0.7596472081037029 0.8841309674221212,0.4145476057928202
0.1431233256114272 0.29019438694818084 0.35020844944311563 0.1245794464154504 0.06604646235909442 0.2215491743184172,0.7866482785593218 0.8120548485694246 0.7938462408954974 0.7556273133091155 0.7442514252541744 0.7963098013439792,0.41237620355930477
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.4261289625127548 0.34630170268017246 0.614923096111177 0.5148009718730755 0.35144664200798714 0.47751904844486,0.8285623899484877
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.5507170622983558 0.4217528435099149 0.43743140480270015 0.5010676506881646 0.4565266252221918 0.42630922193128085,0.8474386745090979
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.5284651254491437 0.49152907710659877 0.4328916508543182 0.4653471443840582 0.5654623006678456 0.47674894661364486,0.8159174798192067
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.5000131264833501 0.23200487847067502 0.5281463824724193 0.4119906477103842 0.43768332520500497 0.3702812576480652,0.8584221340611157
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.9430709439052505 0.9667437335815263 0.904897749291829 0.721228174868834 0.5487422099149475 0.910848004234461,0.4757322201973608
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.5585158710529108 0.7706865397880348 0.7492289466315867 0.7456168836711238 0.7218478641505156 0.7865448776249955,0.5865035330017913
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.7439344624905655 0.7134334036551276 0.6567837333190454 0.8749621679959413 0.6365545224059458 0.6351501335252766,0.6026871291014768
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.7582967513214249 0.6534035019064772 0.700634463867791 0.6221160495152525 0.9240288644374434 0.8592723129182952,0.5577584336617025
0.41333120469624296 0.2789409967190681 0.2657382225561127 0.3196401393486924 0.26182487577295716 0.4175691520815247,0.68383934694298 0.7743475909028293 0.661491136070488 0.7302112394705368 0.7852290519452854 0.6573121522784353,0.5968416392261879
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.4212618096751009 0.628199918927787 0.7576039198998776 0.5609407449221687 0.6291840319347094 0.41324466890118366,0.6023103198761263
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.5274001005693659 0.3769863664499654 0.36439039151519925 0.4680654244930182 0.4898374164627712 0.4180606299281854,0.7363439758500717
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.5456838696286654 0.45853868417062116 0.44777773379538244 0.6938620072225328 0.5563443876662575 0.6080944573822885,0.6148989563966122
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6272923230871243 0.6039769276962897 0.41150215370198884 0.4312478717620553 0.6487666744092588 0.5123273719722423,0.6447609528752992
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.5330476236607139 0.4076253319879812 0.5947205427938328 0.6749383342811078 0.3642752720699768 0.5249555253398613,0.6473100801285054
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6787354354504797 0.769203316090622 0.7468910208522507 0.8466348914430171 0.8510856699629692 0.7300453345003988,0.41239294461651443
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6809705189196493 0.6713422408679061 0.6377477255800903 0.6463764575288898 0.9489612548975994 0.6808672804754765,0.4649068828924661
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6970909306687099 0.678488542410243 0.5276888390905955 0.9238165827798246 0.9545827755199572 0.7678460019426572,0.4026357907865338
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6630292124616534 0.8247969851884434 0.7446358004900417 0.676228527918265 0.816248293454112 0.7072243962211092,0.4494920464986617
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.5562753437986045 0.4864143624840848 0.8974553066900293 0.8243581631846131 0.9139269708186037 0.7574726601835815,0.411862321982835
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.7112684916727605 0.7036618408730414 0.8846361775985228 0.6432178695381907 0.8692423082267094 0.7895961397505004,0.41543241362664146
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6195559921183778 0.7455918804888728 0.4654767130120267 0.7487160841686288 0.9169465906271264 0.7217033734918015,0.46218767948166106
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6895198119010837 0.8349711684429206 0.732242489017281 0.6389355994553731 0.7812590674409569 0.6044055818309476,0.4769672357071546
0.2885688782959443 0.2850045010127895 0.20926447394983613 0.1124874832851703 0.15225609968102982 0.12289100055015437,0.6382811886377625 0.6171743520078754 0.7449353868409417 0.6746475264965334 0.5864845228260711 0.831550263663863,0.4956266221538525
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.3332076270360199 0.4449083197580738 0.4684538380852766 0.5253938896166206 0.5532644037673871 0.49185693594934626,0.71826132831745
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.5506708057119809 0.6772987870189724 0.5924821173483469 0.48333701128417955 0.6246613721071741 0.4857242014975583,0.6589875892310342
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.3901624886573949 0.2965857698221164 0.4892636655468286 0.6527402889298141 0.4684546461129769 0.5000813069481082,0.6754878349270552
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.5668713748173422 0.40763409534671086 0.520333306572649 0.31578511165754897 0.5285017314445184 0.49525113204197074,0.7164443210256934
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.5660995655421652 0.47464847137025745 0.5066297121260076 0.47617499897804644 0.658676628099589 0.34708905744232044,0.6932093114885397
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.769562941374373 0.4761410998503319 0.6154793342451133 0.5346875579824188 0.47604906772756866 0.5815581359443583,0.6121473575994308
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.5538529022765255 0.6023183725648031 0.3990308129440755 0.4689672087614791 0.49330609694563193 0.552361953061573,0.7133988877517441
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.6923396615596962 0.7708327515643288 0.8620018240536595 0.6400711511506836 0.73912894321367 0.7349796474554833,0.48059804394663597
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.8018728847260511 0.8417916994855202 0.7678390476610586 0.5677933880598036 0.7743770625296017 0.6322683919102049,0.49968632004520563
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.5804898195824032 0.9410489517419278 0.7065119071535801 0.8938468420541543 0.7658307488968846 0.7532032571276802,0.45015611061853633
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.8584824024120015 0.7240802336144337 0.7255040139179768 0.691793356928987 0.7363031546389713 0.71490699972673,0.47994511698382725
0.23950200357920268 0.5146159117475757 0.11777794910118333 0.11873439242816203 0.26955278376546765 0.1856178571435662,0.8140496633160618 0.6740795331264651 0.8578791691800208 0.6322335427174937 0.711852021627346 0.8473435336266459,0.45220527873228994
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.4765669185002191 0.5406064632212236 0.5091696788707104 0.37764877129916735 0.5043783169797065 0.7025236186973616,0.6652748542546262
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.4270762268685476 0.6419939779360748 0.2512639499888878 0.6442321780740818 0.42923698776900215 0.5922974317202226,0.6744110562015584
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.5941304826581549 0.344446172043151 0.6487295896862008 0.7867173670963534 0.5661256190627905 0.6030657803861452,0.6059866105570406
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.5477434663179399 0.6685838287932637 0.5718610105415575 0.44463490834184466 0.4804829311883806 0.6311643150334694,0.6286044547764171
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.6220929753579424 0.5523034806476602 0.5389353225184876 0.5683462049580137 0.38808824352197213 0.4670949225311975,0.6658345486374082
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.5957443815036862 0.6608817386729098 0.7423192635227392 0.7932557032847042 0.6133197969724288 0.6379551189444872,0.529759520360821
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.89813208285015 0.8047105041586153 0.8052395783177695 0.6176142559193141 0.7256482717868068 0.6724364781096913,0.44366702457633167
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.6927132318349414 0.9612353248470911 0.6977473917471912 0.6798311979053278 0.7897268824580786 0.8333657725972347,0.42197690717136943
0.20124886375434572 0.13318091375089147 0.1607883475794633 0.2682436299448138 0.3516851762841462 0.17926871200960304,0.8629065533074403 0.7576258886839369 0.6641020398260469 0.760584845636078 0.7474980616505721 0.7299448787090639,0.4548151611413459
0.29970270058354875 0.19763295694484678 0.2603240089629653 0.35216799610143473 0.30097780261012996 0.02092596404883787,0.5678287015628479 0.41583197943821043 0.4548861355042053 0.5279902519348126 0.6179936525201289 0.4422203212740766,0.7212353928871218
0.29970270058354875 0.19763295694484678 0.2603240089629653 0.35216799610143473 0.30097780261012996 0.02092596404883787,0.8979149276734568 0.8820253130803876 0.7699154544102014 0.5952857357677679 0.7447125741072111 0.5667980450770084,0.47720027437655643
0.15276486721553206 0.24596789260988491 0.4216545929957407 0.2889860208179289 0.1605102068763452 0.29253542903882024,0.5397284541947754 0.5514683155216946 0.4946527947624546 0.4156870806228341 0.4837992557461468 0.5017051971955324,0.7377275516141434
0.15276486721553206 0.24596789260988491 0.4216545929957407 0.2889860208179289 0.1605102068763452 0.29253542903882024,0.5777160986531072 0.6477734631455745 0.285889710135835 0.3890930806325327 0.5795941830190641 0.6214904651430716,0.669765843858621
0.15276486721553206 0.24596789260988491 0.4216545929957407 0.2889860208179289 0.1605102068763452 0.29253542903882024,0.39520514300353327 0.46789653627904304 0.4556415502539516 0.39867767754707023 0.4696755667008177 0.5634671790519868,0.7800741731457164
0.15276486721553206 0.24596789260988491 0.4216545929957407 0.2889860208179289 0.1605102068763452 0.29253542903882024,0.7296063022034497 0.6352328325407965 0.7236662111016807 0.7364273359963359 0.6793565065537694 0.7991700151112465,0.5342446870813636
0.15276486721553206 0.24596789260988491 0.4216545929957407 0.2889860208179289 0.1605102068763452 0.29253542903882024,0.6141143501518851 0.5581598124390252 0.8099662330555659 0.5393937717323667 0.9278899361508778 0.8012444911748645,0.5219041814069394
0.2399866044853972 0.213614459819407 0.40666329251078537 0.36467280692703663 0.3536889630917654 0.2601020826242174,0.4274240812432155 0.32823821570013345 0.6393208976183358 0.48290453821996676 0.35772751401693825 0.5171042033172554,0.8256220022772651
0.2399866044853972 0.213614459819407 0.40666329251078537 0.36467280692703663 0.3536889630917654 0.2601020826242174,0.7098727295513997 0.6097038134627302 0.42591037370516927 0.5959439730952324 0.49142175788434095 0.5538802044205311,0.7008867392213075
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.6225094281370774 0.5595780724806476 0.4410455771774296 0.30170777432803697 0.46650938628390365 0.613171209533148,0.665762429857275
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.424906888630424 0.4332714946544848 0.40418171570707884 0.29591622766592385 0.48726070172716496 0.6145778345641623,0.7237728530470497
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.3645784944275128 0.4313311789634084 0.3822923579196657 0.38086388243656244 0.5215268579250598 0.5132739259548651,0.7584661730613818
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.5145747889357091 0.5511619738837942 0.25700663959944636 0.47361152657257993 0.4791241856740493 0.520263057425822,0.7045825164863266
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.4990345338338804 0.3973305915235977 0.4820300656848763 0.3321320054397892 0.5347292746888126 0.5223440346573487,0.7302246651693273
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.6673231947071996 0.8373300670594764 0.7805526956913458 0.6482044591147536 0.7108351898204033 0.8669302573917835,0.45206093563322725
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.6530628149284755 0.7263979839091371 0.691564769754667 0.6566609375794654 0.7626312212372464 0.7845789737349196,0.4977318216043902
0.15560813889796749 0.23315771083481782 0.32148859764605553 0.2442331019247715 0.3318489706315249 0.05638505981932715,0.8419247713563116 0.7107174664402504 0.7003821536269175 0.7598833003595016 0.7320783425252929 0.7169373965418795,0.46691741825670424
0.2554597955715675 0.23235802259901214 0.25184000506365933 0.3744706933666013 0.2383161717228797 0.2660140972093719,0.46157163828053444 0.5683704827318921 0.4320879353584397 0.6659396348272926 0.43489766697817944 0.48259806329121985,0.7556018194551642
