P1,P2,dist
0.8789690213623323 0.07649202642352149,0.927305116499531 0.38114583766891197,0.7818826889040505
0.8789690213623323 0.07649202642352149,0.25457345810055176 0.1258935403002832,0.5571059218084351
0.8789690213623323 0.07649202642352149,0.6762500445318923 0.9307656029891953,0.37916253045362647
0.8789690213623323 0.07649202642352149,0.2614771989177008 0.16279114748251144,0.5591237763943566
0.8789690213623323 0.07649202642352149,0.377957064769722 0.3072512832671581,0.6099597358811638
0.8789690213623323 0.07649202642352149,0.0011970838212860269 0.13787664159359414,0.3778056391632353
0.8789690213623323 0.07649202642352149,0.6899318816042029 0.5134477128939944,0.6633508412703094
0.5063604129562786 0.8165669502642375,0.5063604129562786 0.8165669502642375,1.0
0.5063604129562786 0.8165669502642375,0.9913828147586672 0.9114897198334548,0.650531072602407
0.5063604129562786 0.8165669502642375,0.012783553490248178 0.6735647656970107,0.6366353477625067
0.5063604129562786 0.8165669502642375,0.04484266663631031 0.7834946788534302,0.6728208401314865
0.5063604129562786 0.8165669502642375,0.5063958888237886 0.9728339090631141,0.88950257091048
0.5063604129562786 0.8165669502642375,0.11780164089721523 0.5114097018492164,0.6506442603847232
0.5063604129562786 0.8165669502642375,0.6546322261921935 0.41162552814974185,0.695072069216039
0.5063604129562786 0.8165669502642375,0.11978781574856712 0.6545332763697729,0.7036106577593811
0.5063604129562786 0.8165669502642375,0.2524620739738309 0.7246766336599741,0.8090704359931683
0.5063604129562786 0.8165669502642375,0.5142563121920192 0.7552002642775199,0.9562494835817142
0.5063604129562786 0.8165669502642375,0.5435004078566966 0.40981895463941087,0.7111892391495627
0.5063604129562786 0.8165669502642375,0.59999233928682 0.6331059632431612,0.8543551041280274
0.5063604129562786 0.8165669502642375,0.5021556501056286 0.4598737791029889,0.7477623160749983
0.5063604129562786 0.8165669502642375,0.2923142959088555 0.8632181357834942,0.8450934582830162
0.5063604129562786 0.8165669502642375,0.46849298385593463 0.645389548242181,0.8760329778737701
0.5063604129562786 0.8165669502642375,0.5185982556255723 0.9637965716329955,0.8955339141118368
0.5063604129562786 0.8165669502642375,0.09896663259025684 0.7200276515948334,0.7039514157536817
0.5063604129562786 0.8165669502642375,0.36927370895869915 0.20106266990009847,0.5541085986703171
0.5063604129562786 0.8165669502642375,0.905225978802388 0.35868955018238535,0.5706135463690933
0.5063604129562786 0.8165669502642375,0.564258114685233 0.07572688885825751,0.4745496500859899
0.5063604129562786 0.8165669502642375,0.6762500445318923 0.9307656029891953,0.855252255283384
0.5063604129562786 0.8165669502642375,0.2614771989177008 0.16279114748251144,0.5063449641598121
0.5063604129562786 0.8165669502642375,0.22533693853909442 0.3285550253520966,0.6017978955166366
0.2781027862568659 0.07250189492643389,0.8976680693338719 0.6883521482444395,0.3822894389335155
0.2781027862568659 0.07250189492643389,0.22619410238022564 0.4067403460716331,0.7608244852772899
0.2781027862568659 0.07250189492643389,0.060503421931124124 0.6509576690458656,0.5629870905985283
0.2781027862568659 0.07250189492643389,0.2723344331710422 0.14679400591101732,0.9473094332357851
0.2781027862568659 0.07250189492643389,0.6796043442060397 0.8670442811506399,0.3705156457295904
0.2781027862568659 0.07250189492643389,0.11780164089721523 0.5114097018492164,0.669593795320531
0.2781027862568659 0.07250189492643389,0.1749541827394695 0.41645238033512566,0.7460890206977417
0.2781027862568659 0.07250189492643389,0.4309170017367011 0.04612389414777762,0.8903460366019624
0.2781027862568659 0.07250189492643389,0.0964133659287596 0.8712578765898291,0.42076681565097745
0.2781027862568659 0.07250189492643389,0.4948355239092872 0.17871308479155834,0.8293338105791326
0.2781027862568659 0.07250189492643389,0.6089174045797852 0.2548569138123691,0.7328935936662802
0.2781027862568659 0.07250189492643389,0.2670480116191133 0.9591450176948838,0.3729999062221442
0.2781027862568659 0.07250189492643389,0.8556876341866331 0.6871302077837074,0.4036057430173264
0.2781027862568659 0.07250189492643389,0.22328219047045383 0.38759617887611153,0.7738477222089756
0.2781027862568659 0.07250189492643389,0.845051562791726 0.8059169087544037,0.34451220540628835
0.2781027862568659 0.07250189492643389,0.564258114685233 0.07572688885825751,0.797644776971526
0.2781027862568659 0.07250189492643389,0.6022936480012653 0.2697359346508079,0.7316709284622964
0.2781027862568659 0.07250189492643389,0.377957064769722 0.3072512832671581,0.8196140910940282
0.2781027862568659 0.07250189492643389,0.9178267542441689 0.35582793757207143,0.5052675462137857
0.5125274391024867 0.5879494741668235,0.6060653920112019 0.07510711700349904,0.6313832397087811
0.5125274391024867 0.5879494741668235,0.5125274391024867 0.5879494741668235,1.0
0.5125274391024867 0.5879494741668235,0.9913828147586672 0.9114897198334548,0.5913554347841844
0.5125274391024867 0.5879494741668235,0.7210973636253133 0.3990169754523799,0.8010064040151784
0.5125274391024867 0.5879494741668235,0.7456477638731561 0.48429654333472083,0.819599035629979
0.5125274391024867 0.5879494741668235,0.7338045077668185 0.7356760716778783,0.8118688107611173
0.5125274391024867 0.5879494741668235,0.22378663932775056 0.9564076455364557,0.6689919385395521
0.5125274391024867 0.5879494741668235,0.4106124725702023 0.5663236358043527,0.926330680442411
0.5125274391024867 0.5879494741668235,0.7817600204471957 0.5597443149263214,0.8085819837824592
0.5125274391024867 0.5879494741668235,0.34442363404142484 0.26489214798342997,0.7424879369070538
0.5125274391024867 0.5879494741668235,0.6546322261921935 0.41162552814974185,0.8398689529590754
0.5125274391024867 0.5879494741668235,0.121106559765911 0.9193043343096167,0.6373663362835242
0.5125274391024867 0.5879494741668235,0.4133950526510153 0.9840587245631555,0.7112702229652197
0.5125274391024867 0.5879494741668235,0.30232535881648626 0.7537115280484159,0.8107092539720891
0.5125274391024867 0.5879494741668235,0.27835600375125014 0.46994649534460886,0.8145802543613889
0.5125274391024867 0.5879494741668235,0.6089174045797852 0.2548569138123691,0.7548044869821221
0.5125274391024867 0.5879494741668235,0.1394045632826848 0.17599419165521457,0.6069810212920635
0.5125274391024867 0.5879494741668235,0.5946056312940572 0.13684105633465515,0.6757812202597769
0.5125274391024867 0.5879494741668235,0.40684154488276714 0.5378449571419773,0.9172957955623934
0.5125274391024867 0.5879494741668235,0.845051562791726 0.8059169087544037,0.7188576024716411
0.5125274391024867 0.5879494741668235,0.9178142688697296 0.8543092809701875,0.6570678193409756
0.5125274391024867 0.5879494741668235,0.6762500445318923 0.9307656029891953,0.7313664301419591
0.5125274391024867 0.5879494741668235,0.6584537461754606 0.720010821881871,0.8608333972242791
0.5125274391024867 0.5879494741668235,0.22533693853909442 0.3285550253520966,0.7263543681238931
0.5125274391024867 0.5879494741668235,0.8610115968957949 0.05066703593111732,0.5471680076068959
0.28321937977099865 0.14999439396946124,0.8789690213623323 0.07649202642352149,0.5755472738389698
0.28321937977099865 0.14999439396946124,0.38685077147414215 0.16487364192537168,0.9259700825136762
0.28321937977099865 0.14999439396946124,0.7038716867861071 0.7264240119000624,0.49541132205292604
0.28321937977099865 0.14999439396946124,0.552904684187616 0.9781686716874896,0.38412550073409385
0.28321937977099865 0.14999439396946124,0.121106559765911 0.9193043343096167,0.44406909120099486
0.28321937977099865 0.14999439396946124,0.45596487796123086 0.6105127076405313,0.6522083063301845
0.28321937977099865 0.14999439396946124,0.8685201206150343 0.3057493775169209,0.5717263887813969
0.28321937977099865 0.14999439396946124,0.8096386629520629 0.29698716054844587,0.6135261101112979
0.28321937977099865 0.14999439396946124,0.5526983741776873 0.15927949411342845,0.8093364986276561
0.28321937977099865 0.14999439396946124,0.9178142688697296 0.8543092809701875,0.32963810769067564
0.28321937977099865 0.14999439396946124,0.7611178447368746 0.8723992390136123,0.38752318290403664
0.28321937977099865 0.14999439396946124,0.16582248553573853 0.24428427498186078,0.8935279087332805
0.28321937977099865 0.14999439396946124,0.9936327936867492 0.5893578537203584,0.4093531222313498
0.5452304333232953 0.7812000888645182,0.7214320488693411 0.7304235848427709,0.8703364687321314
0.5452304333232953 0.7812000888645182,0.6534267069641305 0.35551579406733946,0.6894250875660319
0.5452304333232953 0.7812000888645182,0.552904684187616 0.9781686716874896,0.8606165060962773
0.5452304333232953 0.7812000888645182,0.04484266663631031 0.7834946788534302,0.6461686968390121
0.5452304333232953 0.7812000888645182,0.11645424475523647 0.24860065307198131,0.5165172294230744
0.5452304333232953 0.7812000888645182,0.531360974769481 0.11264105838914817,0.5271556603327356
0.5452304333232953 0.7812000888645182,0.09489405974031506 0.44585625413616137,0.6029745997658404
0.5452304333232953 0.7812000888645182,0.3612102416002624 0.33834129070333874,0.6608928295726069
0.5452304333232953 0.7812000888645182,0.22140076015829524 0.2018010918624168,0.530655321246106
0.5452304333232953 0.7812000888645182,0.4161807017175817 0.8765935608568443,0.8865236858938011
0.5452304333232953 0.7812000888645182,0.7922317023502695 0.5060541420506871,0.7385474049191564
0.5452304333232953 0.7812000888645182,0.5822426174678123 0.19083438595435143,0.5817288170649555
0.5452304333232953 0.7812000888645182,0.040645238937876305 0.19096380128667723,0.45091663038904434
0.5452304333232953 0.7812000888645182,0.6904363965658428 0.8383435686080799,0.8896592798682217
0.5452304333232953 0.7812000888645182,0.5526983741776873 0.15927949411342845,0.5602040266690964
0.5452304333232953 0.7812000888645182,0.8556876341866331 0.6871302077837074,0.7706173327227439
0.5452304333232953 0.7812000888645182,0.25457345810055176 0.1258935403002832,0.4930936231231626
0.5452304333232953 0.7812000888645182,0.5799664837108909 0.37462210358275116,0.7114586240135479
0.5452304333232953 0.7812000888645182,0.18177156697142716 0.03758214279270644,0.4147351038846405
0.5452304333232953 0.7812000888645182,0.47718368476523676 0.8932559548844334,0.9072991987661465
0.5080605458044428 0.4124769337054982,0.6060653920112019 0.07510711700349904,0.7515816601964027
0.5080605458044428 0.4124769337054982,0.7338045077668185 0.7356760716778783,0.7212366423392772
0.5080605458044428 0.4124769337054982,0.12692203347472208 0.7297405773470567,0.6493414872289349
0.5080605458044428 0.4124769337054982,0.7490392019105819 0.8555566456499051,0.6433556786969268
0.5080605458044428 0.4124769337054982,0.8661373317218702 0.014676665751273799,0.6215399375116261
0.5080605458044428 0.4124769337054982,0.22140076015829524 0.2018010918624168,0.7484466825472318
0.5080605458044428 0.4124769337054982,0.6546322261921935 0.41162552814974185,0.8963564223332934
0.5080605458044428 0.4124769337054982,0.22020744956438365 0.17584682933564844,0.7365107105506233
0.5080605458044428 0.4124769337054982,0.8915636510247362 0.1655781963129701,0.6774836296870871
0.5080605458044428 0.4124769337054982,0.659817255006194 0.5611468277902241,0.8497787694849551
0.5080605458044428 0.4124769337054982,0.8255712732618715 0.38893446601625214,0.7748696934712647
0.5080605458044428 0.4124769337054982,0.9204576720482072 0.5376813918307487,0.6952480138960921
0.5080605458044428 0.4124769337054982,0.7352152639016405 0.12371717828884232,0.7402102173851863
0.5080605458044428 0.4124769337054982,0.4981959395572251 0.28126621156451437,0.9069581705328965
0.5080605458044428 0.4124769337054982,0.040645238937876305 0.19096380128667723,0.6342506753750838
0.5080605458044428 0.4124769337054982,0.568943589527718 0.6694043640214998,0.8132937474777637
0.5080605458044428 0.4124769337054982,0.18896304856838675 0.45513958956612033,0.7723562926990989
0.5080605458044428 0.4124769337054982,0.22328219047045383 0.38759617887611153,0.7978641995741331
0.5080605458044428 0.4124769337054982,0.4940831233661934 0.038758950972350936,0.7355567178427951
0.5080605458044428 0.4124769337054982,0.060732794384822264 0.6446613889053153,0.6436211717662161
0.5080605458044428 0.4124769337054982,0.5799664837108909 0.37462210358275116,0.9425393522929475
0.5080605458044428 0.4124769337054982,0.26033962944165734 0.9646661072261143,0.5720522603418734
0.5080605458044428 0.4124769337054982,0.8610115968957949 0.05066703593111732,0.6425920771765138
0.5080605458044428 0.4124769337054982,0.19006985901088636 0.12088604219652566,0.6949235137720091
0.9913828147586672 0.9114897198334548,0.5063604129562786 0.8165669502642375,0.650531072602407
0.9913828147586672 0.9114897198334548,0.6132168716982077 0.6775462318817685,0.6855647633885418
0.9913828147586672 0.9114897198334548,0.9827624067362505 0.7304681659964104,0.871853376189517
0.9913828147586672 0.9114897198334548,0.5063958888237886 0.9728339090631141,0.6543300505684594
0.9913828147586672 0.9114897198334548,0.3612102416002624 0.33834129070333874,0.39766429884349186
0.9913828147586672 0.9114897198334548,0.22140076015829524 0.2018010918624168,0.2595507063012268
0.9913828147586672 0.9114897198334548,0.5142563121920192 0.7552002642775199,0.644981624863267
0.9913828147586672 0.9114897198334548,0.5455202107698457 0.2854027574709781,0.4565028306991995
0.9913828147586672 0.9114897198334548,0.9226944964837334 0.7470972976794128,0.8740179506256718
0.9913828147586672 0.9114897198334548,0.12880762482524166 0.8480365516847205,0.38841915381660436
0.9913828147586672 0.9114897198334548,0.2923142959088555 0.8632181357834942,0.5045068416851944
0.9913828147586672 0.9114897198334548,0.6089174045797852 0.2548569138123691,0.46267029119616637
0.9913828147586672 0.9114897198334548,0.9114573721271869 0.27564686242956404,0.54685310566474
0.9913828147586672 0.9114897198334548,0.1628765493077995 0.3169839409597188,0.2789383684435807
0.9913828147586672 0.9114897198334548,0.9178142688697296 0.8543092809701875,0.9341139865646413
0.9913828147586672 0.9114897198334548,0.9586397177150704 0.6106083937168156,0.7859886886053523
0.9913828147586672 0.9114897198334548,0.6019499427465632 0.03607495277145434,0.32250130029873403
0.9913828147586672 0.9114897198334548,0.16582248553573853 0.24428427498186078,0.24942922957715577
0.38685077147414215 0.16487364192537168,0.8789690213623323 0.07649202642352149,0.6464524912888424
0.38685077147414215 0.16487364192537168,0.9031496633343826 0.1565555226010077,0.6348741745334859
0.38685077147414215 0.16487364192537168,0.9827624067362505 0.7304681659964104,0.4190491231180106
0.38685077147414215 0.16487364192537168,0.552904684187616 0.9781686716874896,0.4130491045397332
0.38685077147414215 0.16487364192537168,0.3482657780021091 0.3400365603347527,0.8731716717232931
0.38685077147414215 0.16487364192537168,0.8661373317218702 0.014676665751273799,0.6448417687241773
0.38685077147414215 0.16487364192537168,0.09489405974031506 0.44585625413616137,0.7134777932766572
0.38685077147414215 0.16487364192537168,0.7389624708310798 0.09179620937089861,0.7457137833338348
0.38685077147414215 0.16487364192537168,0.659817255006194 0.5611468277902241,0.6597477854830818
0.38685077147414215 0.16487364192537168,0.8955768352357861 0.25728698675627537,0.6343892546346239
0.38685077147414215 0.16487364192537168,0.5758172558811107 0.8146789843935194,0.5214839003077976
0.38685077147414215 0.16487364192537168,0.8571066843646331 0.11142966240758168,0.6653383181815051
0.38685077147414215 0.16487364192537168,0.5254846300946369 0.6942682122262639,0.6130387888818353
0.38685077147414215 0.16487364192537168,0.6227295386966003 0.29865984426384906,0.8082481541646357
0.38685077147414215 0.16487364192537168,0.4981959395572251 0.28126621156451437,0.8861031679047817
0.38685077147414215 0.16487364192537168,0.5110395867796212 0.3191238624219236,0.8599714451081257
0.38685077147414215 0.16487364192537168,0.36708953739201033 0.4252206819411857,0.8153772933555509
0.38685077147414215 0.16487364192537168,0.4940831233661934 0.038758950972350936,0.8829451142273919
0.38685077147414215 0.16487364192537168,0.6762500445318923 0.9307656029891953,0.4210602642465523
0.38685077147414215 0.16487364192537168,0.2527553216497307 0.08275436982459816,0.8888128503064043
0.38685077147414215 0.16487364192537168,0.2906632770206845 0.11804033911860379,0.9243514959135861
0.38685077147414215 0.16487364192537168,0.26033962944165734 0.9646661072261143,0.4274298922358053
0.38685077147414215 0.16487364192537168,0.783493479733199 0.786410148548106,0.4786397276930897
0.6132168716982077 0.6775462318817685,0.5063604129562786 0.8165669502642375,0.8760139868484285
0.6132168716982077 0.6775462318817685,0.2781027862568659 0.07250189492643389,0.5109294018534198
0.6132168716982077 0.6775462318817685,0.28321937977099865 0.14999439396946124,0.559994723689078
0.6132168716982077 0.6775462318817685,0.9913828147586672 0.9114897198334548,0.6855647633885418
0.6132168716982077 0.6775462318817685,0.3584431906256066 0.2560007005030497,0.6517111374213569
0.6132168716982077 0.6775462318817685,0.6968494824149378 0.7494776084768356,0.9219982804222961
0.6132168716982077 0.6775462318817685,0.32988519263849736 0.5153192429842761,0.7691380972469235
0.6132168716982077 0.6775462318817685,0.2723344331710422 0.14679400591101732,0.5539625787732974
0.6132168716982077 0.6775462318817685,0.5474319588981146 0.3198595140728332,0.7428352251483061
0.6132168716982077 0.6775462318817685,0.2528393991316127 0.3211487550378175,0.6416070004630242
0.6132168716982077 0.6775462318817685,0.4133950526510153 0.9840587245631555,0.7412736314780748
0.6132168716982077 0.6775462318817685,0.5142563121920192 0.7552002642775199,0.9110524281244893
0.6132168716982077 0.6775462318817685,0.5758172558811107 0.8146789843935194,0.8994909877804096
0.6132168716982077 0.6775462318817685,0.8255712732618715 0.38893446601625214,0.7466315496559669
0.6132168716982077 0.6775462318817685,0.5435004078566966 0.40981895463941087,0.8043750012010594
0.6132168716982077 0.6775462318817685,0.18700841781047517 0.836988163456877,0.6782272729784476
0.6132168716982077 0.6775462318817685,0.0964133659287596 0.8712578765898291,0.6097372264287215
0.6132168716982077 0.6775462318817685,0.30232535881648626 0.7537115280484159,0.7736654189898959
0.6132168716982077 0.6775462318817685,0.5918935470273893 0.34707384373584316,0.7658347981638942
0.6132168716982077 0.6775462318817685,0.7352152639016405 0.12371717828884232,0.5989948701675633
0.6132168716982077 0.6775462318817685,0.6227295386966003 0.29865984426384906,0.7320024388585051
0.6132168716982077 0.6775462318817685,0.4948355239092872 0.17871308479155834,0.6374750683468483
0.6132168716982077 0.6775462318817685,0.2670480116191133 0.9591450176948838,0.6844601801199408
0.6132168716982077 0.6775462318817685,0.8556876341866331 0.6871302077837074,0.828413399043213
0.6132168716982077 0.6775462318817685,0.8722345487236985 0.5742076199206105,0.802808436116374
0.6132168716982077 0.6775462318817685,0.1394045632826848 0.17599419165521457,0.512120633423863
0.6132168716982077 0.6775462318817685,0.18896304856838675 0.45513958956612033,0.6612847648935835
0.6132168716982077 0.6775462318817685,0.5647934520901663 0.592379864514846,0.930724688030244
0.6132168716982077 0.6775462318817685,0.5799664837108909 0.37462210358275116,0.7845137872078278
0.6132168716982077 0.6775462318817685,0.845051562791726 0.8059169087544037,0.8126148956357984
0.6132168716982077 0.6775462318817685,0.564258114685233 0.07572688885825751,0.5730436313125743
0.6132168716982077 0.6775462318817685,0.3471730860422392 0.44169128574229444,0.7485970848372944
0.6132168716982077 0.6775462318817685,0.2614771989177008 0.16279114748251144,0.5591521836718343
0.6132168716982077 0.6775462318817685,0.9457404545802442 0.33092039349314906,0.6603520903852639
0.22619410238022564 0.4067403460716331,0.5080605458044428 0.4124769337054982,0.8006490527156964
0.22619410238022564 0.4067403460716331,0.9913828147586672 0.9114897198334548,0.3518157299562383
0.22619410238022564 0.4067403460716331,0.22378663932775056 0.9564076455364557,0.6113227971829966
0.22619410238022564 0.4067403460716331,0.9978527409502007 0.9999722978138791,0.31174815545195167
0.22619410238022564 0.4067403460716331,0.15273465305262934 0.055650201178253256,0.7463658337912968
0.22619410238022564 0.4067403460716331,0.22140076015829524 0.2018010918624168,0.8550464314935876
0.22619410238022564 0.4067403460716331,0.5059522475837231 0.18072917599992044,0.7456914582589823
0.22619410238022564 0.4067403460716331,0.6089174045797852 0.2548569138123691,0.7088422222905681
0.22619410238022564 0.4067403460716331,0.2670480116191133 0.9591450176948838,0.6083241371163584
0.22619410238022564 0.4067403460716331,0.8096386629520629 0.29698716054844587,0.5802064096527012
0.22619410238022564 0.4067403460716331,0.5526983741776873 0.15927949411342845,0.7103088603755103
0.22619410238022564 0.4067403460716331,0.8785749012019679 0.3045569190735168,0.5330727254569648
0.22619410238022564 0.4067403460716331,0.18896304856838675 0.45513958956612033,0.9568222387172591
0.22619410238022564 0.4067403460716331,0.15304836997394833 0.38297118043930234,0.9456158506359257
0.22619410238022564 0.4067403460716331,0.16582248553573853 0.24428427498186078,0.8774506076017863
0.22619410238022564 0.4067403460716331,0.0011970838212860269 0.13787664159359414,0.7520974486354909
0.6534267069641305 0.35551579406733946,0.6060653920112019 0.07510711700349904,0.798912804576269
0.6534267069641305 0.35551579406733946,0.6132168716982077 0.6775462318817685,0.7705218597218185
0.6534267069641305 0.35551579406733946,0.22619410238022564 0.4067403460716331,0.6957372409022197
0.6534267069641305 0.35551579406733946,0.6888458847281189 0.7406720148901539,0.7265042664025729
0.6534267069641305 0.35551579406733946,0.7210973636253133 0.3990169754523799,0.9431155972394458
0.6534267069641305 0.35551579406733946,0.8603128608896922 0.0033086634850840735,0.7111646286211667
0.6534267069641305 0.35551579406733946,0.16357975818206283 0.18205826332747388,0.6325509911555938
0.6534267069641305 0.35551579406733946,0.7338045077668185 0.7356760716778783,0.7252433553717048
0.6534267069641305 0.35551579406733946,0.5474319588981146 0.3198595140728332,0.9209232748508615
0.6534267069641305 0.35551579406733946,0.9662119312717562 0.5752633391979809,0.7297005548136337
0.6534267069641305 0.35551579406733946,0.4106124725702023 0.5663236358043527,0.7726250909157661
0.6534267069641305 0.35551579406733946,0.03828117056952951 0.5043936060823732,0.5524686414023119
0.6534267069641305 0.35551579406733946,0.7389624708310798 0.09179620937089861,0.8039586953563539
0.6534267069641305 0.35551579406733946,0.09147074151689283 0.43497074451496676,0.5986849141557398
0.6534267069641305 0.35551579406733946,0.5455202107698457 0.2854027574709781,0.9090064567628837
0.6534267069641305 0.35551579406733946,0.1749541827394695 0.41645238033512566,0.6589360587925703
0.6534267069641305 0.35551579406733946,0.4309170017367011 0.04612389414777762,0.7305246610019447
0.6534267069641305 0.35551579406733946,0.18700841781047517 0.836988163456877,0.5259949035386866
0.6534267069641305 0.35551579406733946,0.0964133659287596 0.8712578765898291,0.4632254859924789
0.6534267069641305 0.35551579406733946,0.5918935470273893 0.34707384373584316,0.9560819154720973
0.6534267069641305 0.35551579406733946,0.9777513648875662 0.9981943246714821,0.490970444160335
0.6534267069641305 0.35551579406733946,0.9930953096064292 0.1341128079574293,0.713299771643484
0.6534267069641305 0.35551579406733946,0.09896663259025684 0.7200276515948334,0.5308012849800068
0.6534267069641305 0.35551579406733946,0.3471730860422392 0.44169128574229444,0.7750361187954945
0.6534267069641305 0.35551579406733946,0.33406197770095203 0.6865015965550205,0.6747728242091711
0.6534267069641305 0.35551579406733946,0.9936327936867492 0.5893578537203584,0.70809051890536
0.5336371369067245 0.6395367367154201,0.9913828147586672 0.9114897198334548,0.6235099399592783
0.5336371369067245 0.6395367367154201,0.5336371369067245 0.6395367367154201,1.0
